YYYY-MM-DD       JulianDate          Filter  Target
2018-05-01       2458240.19628       R       PKS1510-08  
2018-05-01       2458240.16811       R       S4_0954+65  
2018-05-01       2458240.17037       R       S4_0954+65  
2018-05-02       2458241.07619       R       3C273       
2018-05-02       2458241.07845       R       3C273       
2018-05-02       2458241.03235       R       3C345       
2018-05-02       2458241.11133       R       3C345       
2018-05-02       2458241.11358       R       3C345       
2018-05-02       2458241.12172       R       3C371       
2018-05-02       2458241.08138       R       4C29-45     
2018-05-02       2458241.08363       R       4C29-45     
2018-05-02       2458241.10216       R       4C38-41     
2018-05-02       2458241.10442       R       4C38-41     
2018-05-02       2458241.11640       R       4C51-37     
2018-05-02       2458241.11865       R       4C51-37     
2018-05-02       2458241.05448       R       4C71-07     
2018-05-02       2458241.05672       R       4C71-07     
2018-05-02       2458241.09757       R       DA406       
2018-05-02       2458241.09983       R       DA406       
2018-05-02       2458241.06432       R       Mkn421      
2018-05-02       2458241.06659       R       Mkn421      
2018-05-02       2458241.10677       R       Mkn501      
2018-05-02       2458241.10902       R       Mkn501      
2018-05-02       2458241.04904       R       OJ49        
2018-05-02       2458241.05128       R       OJ49        
2018-05-02       2458241.08600       R       ON231       
2018-05-02       2458241.08824       R       ON231       
2018-05-02       2458241.04395       R       PKS0735+17  
2018-05-02       2458241.04620       R       PKS0735+17  
2018-05-02       2458241.09228       R       PKS1510-08  
2018-05-02       2458241.09455       R       PKS1510-08  
2018-05-02       2458241.05916       R       S4_0954+65  
2018-05-02       2458241.06139       R       S4_0954+65  
2018-05-02       2458241.03850       R       S5_0716+71  
2018-05-02       2458241.04074       R       S5_0716+71  
2018-05-04       2458243.29339       R       3C345       
2018-05-04       2458243.29564       R       3C345       
2018-05-04       2458243.30400       R       3C371       
2018-05-04       2458243.26319       R       4C29-45     
2018-05-04       2458243.26545       R       4C29-45     
2018-05-04       2458243.28398       R       4C38-41     
2018-05-04       2458243.28623       R       4C38-41     
2018-05-04       2458243.29873       R       4C51-37     
2018-05-04       2458243.30098       R       4C51-37     
2018-05-04       2458243.27913       R       DA406       
2018-05-04       2458243.28139       R       DA406       
2018-05-04       2458243.28870       R       Mkn501      
2018-05-04       2458243.29095       R       Mkn501      
2018-05-04       2458243.26836       R       ON231       
2018-05-04       2458243.27061       R       ON231       
2018-05-04       2458243.27373       R       PKS1510-08  
2018-05-04       2458243.27598       R       PKS1510-08  
2018-05-05       2458244.06841       R       3C273       
2018-05-05       2458244.07069       R       3C273       
2018-05-05       2458244.08532       R       3C279       
2018-05-05       2458244.08759       R       3C279       
2018-05-05       2458244.11157       R       3C345       
2018-05-05       2458244.11382       R       3C345       
2018-05-05       2458244.12200       R       3C371       
2018-05-05       2458244.07377       R       4C29-45     
2018-05-05       2458244.07603       R       4C29-45     
2018-05-05       2458244.10218       R       4C38-41     
2018-05-05       2458244.10441       R       4C38-41     
2018-05-05       2458244.11677       R       4C51-37     
2018-05-05       2458244.11902       R       4C51-37     
2018-05-05       2458244.04444       R       4C71-07     
2018-05-05       2458244.04672       R       4C71-07     
2018-05-05       2458244.09742       R       DA406       
2018-05-05       2458244.09969       R       DA406       
2018-05-05       2458244.05459       R       Mkn421      
2018-05-05       2458244.05686       R       Mkn421      
2018-05-05       2458244.10690       R       Mkn501      
2018-05-05       2458244.10914       R       Mkn501      
2018-05-05       2458244.02880       R       OJ248       
2018-05-05       2458244.03105       R       OJ248       
2018-05-05       2458244.03359       R       OJ287       
2018-05-05       2458244.03586       R       OJ287       
2018-05-05       2458244.03885       R       OJ49        
2018-05-05       2458244.04112       R       OJ49        
2018-05-05       2458244.07850       R       ON231       
2018-05-05       2458244.08083       R       ON231       
2018-05-05       2458244.02358       R       PKS0735+17  
2018-05-05       2458244.02584       R       PKS0735+17  
2018-05-05       2458244.09193       R       PKS1510-08  
2018-05-05       2458244.09419       R       PKS1510-08  
2018-05-05       2458244.04929       R       S4_0954+65  
2018-05-05       2458244.05156       R       S4_0954+65  
2018-05-05       2458244.01792       R       S5_0716+71  
2018-05-05       2458244.02017       R       S5_0716+71  
2018-05-06       2458245.36611       R       3C345       
2018-05-06       2458245.35669       R       4C38-41     
2018-05-06       2458245.35894       R       4C38-41     
2018-05-06       2458245.35197       R       DA406       
2018-05-06       2458245.35422       R       DA406       
2018-05-06       2458245.36141       R       Mkn501      
2018-05-06       2458245.36367       R       Mkn501      
2018-05-06       2458245.34656       R       PKS1510-08  
2018-05-06       2458245.34882       R       PKS1510-08  
2018-05-10       2458249.13477       R       3C273       
2018-05-10       2458249.13701       R       3C273       
2018-05-10       2458249.15010       R       3C279       
2018-05-10       2458249.15236       R       3C279       
2018-05-10       2458249.18618       R       3C345       
2018-05-10       2458249.18843       R       3C345       
2018-05-10       2458249.19662       R       3C371       
2018-05-10       2458249.14005       R       4C29-45     
2018-05-10       2458249.14230       R       4C29-45     
2018-05-10       2458249.17679       R       4C38-41     
2018-05-10       2458249.17905       R       4C38-41     
2018-05-10       2458249.19138       R       4C51-37     
2018-05-10       2458249.19363       R       4C51-37     
2018-05-10       2458249.11936       R       4C71-07     
2018-05-10       2458249.12161       R       4C71-07     
2018-05-10       2458249.17193       R       DA406       
2018-05-10       2458249.17419       R       DA406       
2018-05-10       2458249.12943       R       Mkn421      
2018-05-10       2458249.13169       R       Mkn421      
2018-05-10       2458249.18149       R       Mkn501      
2018-05-10       2458249.18374       R       Mkn501      
2018-05-10       2458249.11396       R       OJ287       
2018-05-10       2458249.14476       R       ON231       
2018-05-10       2458249.14701       R       ON231       
2018-05-10       2458249.15669       R       PKS1510-08  
2018-05-10       2458249.16775       R       PKS1510-08  
2018-05-10       2458249.12416       R       S4_0954+65  
2018-05-10       2458249.12640       R       S4_0954+65  
2018-05-10       2458249.10823       R       S5_0716+71  
2018-05-11       2458250.31508       R       4C38-41     
2018-05-11       2458250.31733       R       4C38-41     
2018-05-11       2458250.31035       R       DA406       
2018-05-11       2458250.31262       R       DA406       
2018-05-11       2458250.30494       R       PKS1510-08  
2018-05-11       2458250.30720       R       PKS1510-08  
2018-05-12       2458251.10462       R       3C273       
2018-05-12       2458251.10688       R       3C273       
2018-05-12       2458251.11995       R       3C279       
2018-05-12       2458251.12221       R       3C279       
2018-05-12       2458251.14604       R       3C345       
2018-05-12       2458251.14829       R       3C345       
2018-05-12       2458251.15652       R       3C371       
2018-05-12       2458251.10991       R       4C29-45     
2018-05-12       2458251.11216       R       4C29-45     
2018-05-12       2458251.13663       R       4C38-41     
2018-05-12       2458251.13888       R       4C38-41     
2018-05-12       2458251.15125       R       4C51-37     
2018-05-12       2458251.15351       R       4C51-37     
2018-05-12       2458251.08891       R       4C71-07     
2018-05-12       2458251.09116       R       4C71-07     
2018-05-12       2458251.13191       R       DA406       
2018-05-12       2458251.13417       R       DA406       
2018-05-12       2458251.09899       R       Mkn421      
2018-05-12       2458251.10125       R       Mkn421      
2018-05-12       2458251.14135       R       Mkn501      
2018-05-12       2458251.14360       R       Mkn501      
2018-05-12       2458251.06323       R       OJ248       
2018-05-12       2458251.06549       R       OJ248       
2018-05-12       2458251.06794       R       OJ287       
2018-05-12       2458251.07019       R       OJ287       
2018-05-12       2458251.11462       R       ON231       
2018-05-12       2458251.11686       R       ON231       
2018-05-12       2458251.05803       R       PKS0735+17  
2018-05-12       2458251.06030       R       PKS0735+17  
2018-05-12       2458251.12652       R       PKS1510-08  
2018-05-12       2458251.12877       R       PKS1510-08  
2018-05-12       2458251.09370       R       S4_0954+65  
2018-05-12       2458251.09595       R       S4_0954+65  
2018-05-12       2458251.05234       R       S5_0716+71  
2018-05-12       2458251.05459       R       S5_0716+71  
2018-05-13       2458252.21580       R       3C273       
2018-05-13       2458252.21806       R       3C273       
2018-05-13       2458252.23116       R       3C279       
2018-05-13       2458252.23341       R       3C279       
